x_value,total_1,total_2
829,2004,1267
830,2003,1268
831,1998,1265
832,2006,1267
833,2006,1262
834,2011,1266
835,2018,1272
836,2023,1278
837,2026,1276
838,2020,1277
839,2019,1273
840,2016,1272
841,2015,1275
842,2019,1281
843,2015,1281
844,2011,1280
845,2008,1279
846,2012,1276
847,2009,1280
848,2011,1285
849,2013,1282
850,2007,1278
851,2008,1284
852,2010,1286
853,2005,1282
854,2012,1284
855,2011,1289
856,2016,1294
857,2024,1299
858,2030,1297
859,2038,1295
860,2038,1301
861,2045,1299
862,2042,1298
863,2041,1295
864,2037,1290
865,2033,1293
866,2039,1295
867,2044,1295
868,2046,1296
869,2043,1302
870,2047,1299
871,2041,1296
872,2049,1299
873,2047,1302
874,2044,1302
875,2047,1307
876,2052,1313
877,2053,1309
878,2058,1314
879,2055,1312
880,2049,1314
881,2043,1310
882,2051,1308
883,2051,1313
884,2056,1314
885,2060,1314
886,2066,1320
887,2070,1323
888,2073,1319
889,2071,1324
890,2074,1329
891,2078,1324
892,2086,1327
893,2086,1327
894,2093,1326
895,2097,1328
896,2097,1329
897,2091,1332
898,2094,1336
899,2101,1332
900,2096,1333
901,2100,1328
902,2105,1332
903,2102,1329
904,2099,1325
905,2107,1324
906,2114,1325
907,2115,1325
908,2116,1324
909,2119,1320
910,2117,1316
911,2112,1311
912,2108,1311
913,2114,1315
914,2119,1314
915,2120,1313
916,2118,1310
917,2121,1311
918,2120,1309
919,2123,1307
920,2119,1307
921,2127,1307
922,2125,1306
923,2129,1310
924,2125,1313
925,2129,1310
926,2129,1306
927,2129,1308
928,2127,1314
929,2130,1316
930,2137,1317
931,2145,1315
932,2148,1321
933,2146,1327
934,2149,1332
935,2149,1333
936,2151,1331
937,2149,1327
938,2153,1331
939,2151,1336
940,2154,1340
941,2161,1343
942,2168,1341
943,2162,1347
944,2161,1346
945,2165,1351
946,2163,1355
947,2171,1352
948,2165,1347
949,2169,1347
950,2176,1348
951,2172,1350
952,2169,1352
953,2170,1356
954,2176,1351
955,2179,1346
956,2187,1348
957,2186,1349
958,2183,1345
959,2181,1347
960,2181,1345
961,2181,1350
962,2178,1354
963,2177,1355
964,2173,1350
965,2173,1351
966,2174,1350
967,2170,1348
968,2167,1350
969,2170,1353
970,2177,1355
971,2178,1352
972,2172,1358
973,2175,1356
974,2176,1356
975,2171,1354
976,2170,1359
977,2175,1363
978,2170,1361
979,2164,1365
980,2172,1366
981,2172,1368
982,2180,1373
983,2182,1371
984,2180,1367
985,2179,1362
986,2179,1360
987,2174,1360
988,2178,1357
989,2184,1357
990,2190,1355
991,2191,1358
992,2188,1358
993,2195,1361
994,2199,1360
995,2193,1356
996,2189,1362
997,2193,1359
998,2198,1362
999,2198,1365
1000,2205,1364
1001,2210,1366
1002,2204,1372
1003,2206,1372
1004,2213,1373
1005,2208,1372
1006,2207,1378
1007,2206,1375
1008,2206,1373
1009,2207,1376
1010,2202,1376
1011,2205,1374
1012,2210,1376
1013,2212,1376
1014,2212,1381
1015,2218,1380
1016,2224,1384
1017,2232,1387
1018,2231,1391
1019,2237,1393
1020,2237,1395
1021,2238,1399
1022,2243,1405
1023,2238,1406
1024,2239,1403
1025,2239,1407
1026,2234,1402
1027,2234,1403
1028,2241,1406
1029,2243,1410
1030,2251,1416
1031,2247,1422
1032,2243,1426
1033,2249,1423
1034,2243,1418
1035,2241,1423
1036,2244,1422
1037,2238,1417
1038,2239,1422
1039,2245,1418
1040,2242,1414
1041,2245,1418
1042,2252,1413
1043,2250,1413
1044,2256,1412
1045,2260,1407
1046,2264,1403
1047,2267,1402
1048,2262,1402
1049,2264,1397
1050,2269,1392
1051,2271,1396
1052,2267,1395
1053,2274,1397
1054,2278,1392
1055,2275,1391
1056,2277,1391
1057,2282,1393
1058,2281,1392
1059,2279,1392
1060,2273,1397
1061,2278,1403
1062,2274,1400
1063,2272,1398
1064,2271,1396
1065,2274,1391
1066,2275,1392
1067,2275,1387
1068,2278,1388
1069,2278,1394
1070,2273,1393
1071,2281,1391
1072,2281,1391
1073,2285,1388
1074,2287,1392
1075,2281,1394
1076,2277,1392
1077,2282,1392
1078,2281,1389
1079,2285,1392
1080,2287,1387
1081,2294,1389
1082,2297,1391
1083,2297,1388
1084,2300,1386
1085,2294,1390
1086,2300,1385
1087,2298,1389
1088,2296,1389
1089,2299,1388
1090,2305,1388
1091,2306,1393
1092,2303,1396
1093,2300,1400
1094,2300,1395
1095,2296,1394
1096,2292,1396
1097,2289,1398
1098,2287,1400
1099,2291,1406
1100,2297,1406
1101,2301,1408
1102,2300,1407
1103,2294,1404
1104,2289,1410
1105,2286,1411
1106,2280,1413
1107,2287,1411
1108,2295,1409
1109,2296,1410
1110,2297,1407
1111,2303,1407
1112,2305,1413
1113,2310,1413
1114,2318,1415
1115,2321,1415
1116,2329,1415
1117,2326,1417
1118,2331,1422
1119,2329,1422
1120,2324,1428
1121,2323,1433
1122,2327,1436
1123,2323,1441
1124,2323,1440
1125,2330,1445
1126,2332,1442
1127,2335,1440
1128,2339,1435
1129,2334,1434
1130,2331,1438
1131,2337,1443
1132,2344,1445
1133,2340,1447
1134,2334,1449
1135,2342,1455
1136,2345,1456
1137,2348,1462
1138,2344,1462
1139,2347,1461
1140,2345,1462
1141,2339,1468
1142,2336,1464
1143,2339,1459
1144,2339,1457
1145,2339,1461
1146,2336,1467
1147,2336,1466
1148,2338,1467
1149,2337,1473
1150,2341,1479
1151,2338,1481
1152,2334,1483
1153,2334,1485
1154,2329,1491
1155,2326,1488
1156,2329,1493
1157,2328,1496
1158,2325,1497
1159,2323,1493
1160,2320,1493
1161,2319,1490
1162,2314,1490
1163,2308,1493
1164,2303,1492
1165,2299,1498
1166,2293,1502
1167,2288,1498
1168,2287,1500
1169,2284,1500
1170,2280,1503
1171,2282,1509
1172,2285,1510
1173,2281,1512
1174,2275,1513
1175,2281,1518
1176,2289,1513
1177,2284,1509
1178,2281,1505
1179,2278,1511
1180,2285,1509
1181,2293,1513
1182,2287,1514
1183,2286,1515
1184,2285,1517
1185,2292,1522
1186,2290,1528
1187,2291,1532
1188,2296,1533
1189,2292,1536
1190,2290,1538
1191,2293,1541
1192,2301,1545
1193,2298,1546
1194,2305,1544
1195,2311,1543
1196,2308,1543
1197,2306,1549
1198,2314,1548
1199,2322,1545
1200,2330,1551
1201,2333,1551
1202,2335,1551
1203,2339,1549
1204,2333,1546
1205,2341,1548
1206,2342,1548
1207,2348,1552
1208,2353,1551
1209,2355,1550
1210,2353,1554
1211,2348,1555
1212,2347,1552
1213,2353,1556
1214,2353,1552
1215,2354,1554
1216,2351,1550
1217,2346,1550
1218,2349,1556
1219,2344,1560
1220,2343,1562
1221,2342,1557
1222,2337,1555
1223,2341,1556
1224,2342,1551
1225,2345,1553
1226,2349,1559
1227,2356,1563
1228,2351,1560
1229,2349,1558
1230,2351,1558
1231,2348,1558
1232,2347,1560
1233,2345,1566
1234,2339,1571
1235,2335,1566
1236,2335,1565
1237,2331,1569
1238,2330,1566
1239,2336,1566
1240,2337,1565
1241,2332,1571
1242,2329,1573
1243,2331,1570
1244,2334,1573
1245,2341,1577
1246,2344,1572
1247,2345,1576
1248,2347,1580
1249,2343,1584
1250,2343,1579
1251,2338,1583
1252,2344,1588
1253,2345,1592
1254,2351,1591
1255,2352,1587
1256,2346,1584
1257,2349,1590
1258,2351,1595
1259,2353,1597
1260,2358,1601
1261,2355,1600
1262,2359,1599
1263,2367,1601
1264,2370,1601
1265,2373,1605
1266,2376,1608
1267,2381,1609
1268,2376,1608
1269,2375,1606
1270,2374,1607
1271,2379,1606
1272,2381,1612
1273,2385,1614
1274,2385,1619
1275,2391,1617
1276,2394,1615
1277,2388,1612
1278,2395,1610
1279,2392,1614
1280,2387,1618
1281,2395,1613
1282,2394,1619
1283,2402,1618
1284,2400,1616
1285,2403,1618
1286,2399,1618
1287,2393,1618
1288,2391,1618
1289,2397,1621
1290,2398,1620
1291,2406,1622
1292,2408,1625
1293,2408,1624
1294,2410,1619
1295,2414,1621
1296,2415,1620
1297,2423,1622
1298,2425,1620
1299,2426,1623
1300,2422,1620
1301,2429,1624
1302,2425,1626
1303,2430,1622
1304,2426,1626
1305,2428,1626
1306,2430,1622
1307,2426,1621
1308,2432,1622
1309,2434,1622
1310,2439,1625
1311,2438,1626
1312,2432,1628
1313,2438,1626
1314,2435,1631
1315,2430,1636
1316,2436,1637
1317,2434,1637
1318,2438,1633
1319,2445,1629
1320,2448,1627
1321,2449,1625
1322,2450,1620
1323,2454,1626
1324,2454,1627
1325,2453,1622
1326,2451,1619
1327,2455,1615
1328,2459,1613
1329,2455,1613
1330,2449,1608
1331,2446,1603
1332,2451,1609
1333,2446,1609
1334,2449,1612
1335,2451,1609
1336,2457,1608
1337,2453,1611
1338,2458,1611
1339,2455,1611
1340,2459,1612
1341,2467,1609
1342,2464,1604
1343,2469,1606
1344,2463,1609
1345,2459,1612
1346,2466,1616
1347,2473,1611
1348,2480,1608
1349,2475,1612
1350,2478,1615
1351,2483,1618
1352,2483,1615
1353,2484,1617
1354,2486,1620
1355,2482,1615
1356,2477,1612
1357,2483,1609
1358,2483,1607
1359,2484,1611
1360,2492,1612
1361,2500,1613
1362,2502,1615
1363,2504,1611
1364,2500,1611
1365,2497,1610
1366,2498,1615
1367,2501,1614
1368,2506,1614
1369,2507,1610
1370,2503,1610
1371,2503,1605
1372,2497,1608
1373,2491,1606
1374,2499,1610
1375,2503,1613
1376,2508,1610
1377,2511,1605
1378,2505,1602
1379,2510,1601
1380,2509,1603
1381,2505,1604
1382,2506,1609
1383,2510,1604
1384,2510,1603
1385,2508,1605
1386,2507,1602
1387,2509,1605
1388,2512,1606
1389,2518,1604
1390,2518,1607
1391,2517,1607
1392,2516,1608
1393,2524,1605
1394,2523,1609
1395,2524,1608
1396,2523,1612
1397,2518,1614
1398,2525,1612
1399,2519,1611
1400,2520,1617
1401,2520,1622
1402,2526,1625
1403,2534,1623
1404,2537,1620
1405,2538,1615
1406,2546,1621
1407,2550,1626
1408,2553,1627
1409,2555,1631
1410,2561,1628
1411,2567,1628
1412,2562,1632
1413,2560,1638
1414,2558,1635
1415,2556,1636
1416,2558,1636
1417,2564,1631
1418,2570,1626
1419,2564,1625
1420,2571,1630
1421,2572,1629
1422,2566,1630
1423,2566,1633
1424,2571,1636
1425,2574,1631
1426,2575,1630
1427,2580,1629
1428,2585,1629
1429,2585,1630
1430,2590,1634
1431,2592,1629
1432,2600,1633
1433,2596,1635
1434,2590,1637
1435,2594,1639
1436,2600,1644
1437,2606,1644
1438,2612,1650
1439,2619,1653
1440,2625,1658
1441,2627,1659
1442,2623,1663
1443,2623,1662
1444,2622,1659
1445,2626,1663
1446,2622,1668
1447,2624,1673
1448,2621,1675
1449,2621,1674
1450,2623,1677
1451,2625,1678
1452,2624,1675
1453,2619,1681
1454,2621,1683
1455,2617,1681
1456,2625,1680
1457,2629,1680
1458,2623,1684
1459,2617,1680
1460,2612,1685
1461,2619,1681
1462,2622,1683
1463,2622,1686
1464,2628,1691
1465,2630,1693
1466,2629,1689
1467,2635,1690
1468,2631,1691
1469,2631,1694
1470,2633,1695
1471,2637,1699
1472,2636,1694
1473,2639,1699
1474,2634,1699
1475,2631,1705
1476,2634,1702
1477,2630,1708
1478,2630,1706
1479,2630,1704
1480,2627,1710
1481,2623,1706
1482,2623,1702
1483,2626,1702
1484,2631,1701
1485,2627,1700
1486,2631,1700
1487,2634,1697
1488,2642,1696
1489,2638,1701
1490,2639,1700
1491,2634,1699
1492,2633,1698
1493,2632,1700
1494,2636,1701
1495,2642,1699
1496,2636,1704
1497,2635,1703
1498,2639,1707
1499,2646,1705
1500,2648,1709
1501,2647,1712
1502,2647,1718
1503,2643,1720
1504,2639,1723
1505,2644,1720
1506,2649,1726
1507,2646,1732
1508,2648,1734
1509,2652,1735
1510,2657,1737
1511,2658,1743
1512,2660,1747
1513,2658,1751
1514,2662,1754
1515,2659,1754
1516,2666,1754
1517,2663,1758
1518,2668,1759
1519,2675,1764
1520,2681,1770
1521,2676,1770
1522,2678,1775
1523,2672,1779
1524,2670,1781
1525,2677,1785
1526,2680,1786
1527,2683,1783
1528,2687,1781
1529,2681,1785
1530,2687,1788
1531,2685,1786
1532,2679,1788
1533,2677,1784
1534,2681,1783
1535,2683,1780
1536,2683,1780
1537,2688,1786
1538,2691,1789
1539,2688,1793
1540,2690,1795
1541,2698,1799
1542,2700,1804
1543,2704,1800
1544,2707,1800
1545,2702,1797
1546,2702,1794
1547,2700,1798
1548,2700,1796
1549,2702,1794
1550,2708,1797
1551,2705,1798
1552,2706,1801
1553,2714,1796
1554,2711,1794
1555,2715,1795
1556,2713,1791
1557,2721,1788
1558,2717,1792
1559,2720,1791
1560,2725,1797
1561,2727,1798
1562,2735,1800
1563,2735,1804
1564,2741,1810
1565,2748,1816
1566,2750,1818
1567,2745,1814
1568,2751,1811
1569,2752,1815
1570,2759,1811
1571,2761,1810
1572,2767,1812
1573,2768,1818
1574,2763,1824
1575,2764,1823
1576,2760,1819
1577,2756,1816
1578,2754,1816
1579,2753,1816
1580,2758,1820
1581,2752,1821
1582,2746,1827
1583,2748,1832
1584,2750,1833
1585,2756,1838
1586,2753,1841
1587,2755,1837
1588,2755,1833
1589,2753,1831
1590,2759,1836
1591,2760,1839
1592,2762,1839
1593,2759,1845
1594,2754,1840
1595,2752,1837
1596,2750,1843
1597,2751,1849
1598,2745,1851
1599,2744,1847
1600,2749,1848
1601,2756,1844
1602,2755,1848
1603,2752,1845
1604,2747,1851
1605,2748,1857
1606,2744,1853
1607,2748,1855
1608,2746,1860
1609,2747,1858
1610,2753,1864
1611,2757,1863
1612,2756,1862
1613,2761,1860
1614,2759,1858
1615,2753,1860
1616,2748,1860
1617,2756,1863
1618,2750,1860
1619,2751,1859
1620,2752,1863
1621,2760,1863
1622,2754,1866
1623,2761,1867
1624,2756,1862
1625,2756,1866
1626,2755,1868
1627,2758,1863
1628,2755,1859
1629,2759,1861
1630,2758,1863
1631,2758,1862
1632,2763,1865
1633,2766,1863
1634,2762,1862
1635,2769,1857
1636,2771,1854
1637,2775,1851
1638,2769,1853
1639,2775,1857
1640,2780,1860
1641,2788,1857
1642,2788,1858
1643,2788,1862
1644,2793,1859
1645,2790,1864
1646,2784,1870
1647,2779,1872
1648,2784,1878
1649,2789,1880
1650,2794,1876
1651,2797,1871
1652,2791,1870
1653,2791,1868
1654,2796,1874
1655,2802,1872
1656,2801,1867
1657,2805,1865
1658,2810,1861
1659,2805,1859
1660,2811,1862
1661,2811,1864
1662,2807,1867
1663,2807,1868
1664,2815,1872
